CONCEPT				POLARITY		INTENSITY
oyster_shell			negative		-0.04
oystercatcher			positive		0.032
oz				positive		0.855
oz_caster_sugar			negative		-0.78
ozeki				positive		0.07
ozonation			negative		-0.06
ozone				negative		-0.07
ozone_hole			negative		-0.93
pa_du				negative		-0.69
pa_encore_rpondu		negative		-0.19
pa_qu				positive		0.903
paasche_index			positive		0.619
pablo_legorreta			positive		0.31
pablum				positive		0.78
pabst_blue_ribbon		positive		0.043
pabulum				positive		0.925
pacaya_samiria_national		positive		0.086
pace				positive		0.107
pacemaker			negative		-0.77
pacemaker_award			negative		-0.71
pacesetter			positive		0.721
pachanga			positive		0.069
pachinko			positive		0.917
pachisi				positive		0.115
pacific				negative		-0.65
pacific_coast_borax		negative		-0.75
pacific_herring_clupea		negative		-0.78
pacific_lamprey			negative		-0.03
pacific_northwest		positive		0.025
pacific_ocean			positive		0.079
pacific_silver_fir		positive		0.356
pacific_tectonic_plate		negative		-0.84
pacific_theater			positive		0.043
pacifically			positive		0.328
pacificism			negative		-0.72
pacifier			positive		0.763
pacifism			positive		0.916
pacifist			negative		-0.72
pacifist_stance			negative		-0.72
pacifistic			negative		-0.72
pacify				positive		0.774
pack				positive		0.067
pack_animal			positive		0.033
pack_bag			positive		0.846
pack_cigarette			positive		0.945
pack_clothes			positive		0.09
pack_luggage			positive		0.805
pack_lunch			positive		0.071
pack_mule			positive		0.093
pack_saddle			positive		0.071
package				positive		0.849
packaged_food			positive		0.067
packaged_meat			positive		0.067
packaged_software		positive		0.23
packaging_material		positive		0.683
packard_motor			positive		0.059
packed_crowd			negative		-0.84
packed_lunch			positive		0.078
packed_rod_laver		positive		0.051
packed_tightly			negative		-0.1
packet				negative		-0.1
packet_sniffer			negative		-0.67
packhorse			positive		0.093
packing_density			positive		0.881
packing_tape			negative		-0.83
packman				negative		-0.81
pact				positive		0.183
pactum				negative		-0.79
pad				positive		0.151
padded_cell			negative		-0.79
padded_feet			negative		-0.02
padded_room			negative		-0.79
padded_shoulder_strap		positive		0.043
paddhari			negative		-0.71
paddle				positive		0.151
paddle_attachment		positive		0.06
paddle_ball			positive		0.06
paddle_boat			positive		0.029
paddle_brush			positive		0.071
paddling_pool			positive		0.964
paddy_ladd			negative		-0.94
paddy_tuimavave			positive		0.923
paderno_dugnano			positive		0.783
padishah_emperor		positive		0.744
padlock				positive		0.076
padmasambhava			positive		0.094
paean				negative		-0.85
paec				negative		-0.85
paediatric			positive		0.71
paediatrician			positive		0.71
paedo				negative		-0.23
paedophile			positive		0.675
paedophile_priest		negative		-0.82
paedophilia			positive		0.942
paedophilic			positive		0.942
paella				positive		0.035
pagan				negative		-0.77
pagan_empire			positive		0.928
pagan_rome			negative		-0.85
pagan_sacrificial		negative		-0.68
pagani_zonda			positive		0.728
page				positive		0.831
page_doctor			negative		-0.05
page_layout			positive		0.726
page_pamphlet			positive		0.054
page_person			negative		-0.09
page_through_book		negative		-0.10
pageboy				positive		0.827
paginate			positive		0.827
pahalwan			negative		-0.83
pahoehoe			negative		-0.92
pahoehoe_flow			negative		-0.92
pahoehoe_lava			negative		-0.92
paid				positive		0.702
paid_paternity_leave		positive		0.088
paid_subscription		positive		0.663
pail				positive		0.026
pain				negative		-0.86
pain-free			negative		-0.90
pain_in_ass			negative		-0.86
pain_in_neck			negative		-0.68
pain_in_stomach			negative		-0.80
pain_killer			positive		0.871
pain_person			negative		-0.07
pain_pill			negative		-0.76
pain_pill_hydrochloride		negative		-0.76
pain_relief			negative		-0.07
pain_reliever			positive		0.871
pain_sensation			negative		-0.78
pain_suffer			negative		-0.17
painful				negative		-0.84
painful_bite			positive		0.912
painful_inflammation		negative		-0.73
painful_injury			negative		-0.06
painful_menstruation		negative		-0.73
painful_sensation		negative		-0.78
painful_stimulus		positive		0.873
painful_sting			negative		-0.12
painful_urination		negative		-0.05
painfully			negative		-0.78
painfully_slow			negative		-0.35
painkiller			negative		-0.12
painkiller_hydrocodone		negative		-0.28
painkiller_oxycontin		negative		-0.28
painless			negative		-0.89
painstaking			positive		0.88
painstaking_attention		positive		0.617
painstaking_detail		positive		0.607
painstaking_research		positive		0.607
painstaking_work		positive		0.607
painstakingly			positive		0.952
painstakingness			positive		0.652
paint				negative		-0.07
paint_brush			positive		0.068
paint_bucket			positive		0.864
paint_canvas			positive		0.82
paint_ceiling			negative		-0.06
paint_face			positive		0.136
paint_fingernail		positive		0.728
paint_house			positive		0.852
paint_lily			positive		0.657
paint_line			positive		0.121
paint_nail			positive		0.887
paint_picture			positive		0.852
paint_roller			positive		0.996
paint_stripper			positive		0.84
paint_thinner			negative		-0.83
paintball_gun			negative		-0.86
paintbrush			positive		0.81
painted_decoration		negative		-0.04
painted_desert			positive		0.067
painted_pottery			positive		0.619
painted_stork			positive		0.751
painted_wooden			positive		0.834
painter				positive		0.077
painter_guild			positive		0.863
painterly			positive		0.727
painting			positive		0.101
pair				positive		0.713
pair_of_pants			positive		0.859
pair_of_scissors		negative		-0.06
pair_wise			negative		-0.79
paired_kidney			positive		0.103
pairwise			negative		-0.79
paivio				positive		0.681
pajama				positive		0.039
pajama_party			positive		0.082
pajama_top			positive		0.943
paji				positive		0.148
pak_choi			positive		0.661
paktiya_province		negative		-0.69
pal				positive		0.151
pala_dynasty			positive		0.928
palace				positive		0.09
palace_coup			negative		-0.72
palace_intrigue			positive		0.893
palaeography			positive		0.731
palaeontology			positive		0.093
palakurthi			negative		-0.71
palapa				negative		-0.77
palatability			positive		0.82
palatable			positive		0.824
palatableness			positive		0.82
palatalisation			negative		-0.67
palatalization			positive		0.943
palate				positive		0.823
palatial			positive		0.873
palatial_residence		positive		0.09
palato_alveolar			negative		-0.63
palaver				negative		-0.78
pale				negative		-0.06
pale_ale			positive		0.037
pale_blue			negative		-0.20
pale_blue_dot			positive		0.048
pale_blue_sky			positive		0.058
pale_bluish			positive		0.089
pale_brown			negative		-0.61
pale_complexion			positive		0.027
pale_cream			positive		0.083
pale_face			negative		-0.66
pale_gray			negative		-0.68
pale_green			positive		0.089
pale_grey			positive		0.032
pale_lilac			negative		-0.94
pale_purple			positive		0.089
pale_purple_coneflower		negative		-0.83
pale_rider			negative		-0.85
pale_rump			positive		0.032
pale_skin			positive		0.258
pale_stripe			positive		0.82
pale_yellow			positive		0.022
pale_yellow_liquid		negative		-0.72
pale_yellowish			negative		-0.61
pale_yellowish_cream		negative		-0.65
paleobiology			positive		0.093
paleoconservative		positive		0.64
paleofauna			negative		-0.73
paleographical			positive		0.731
paleography			positive		0.731
paleolithic			positive		0.672
paleolithic_period		positive		0.672
paleology			negative		-0.93
paleontology			positive		0.093
paleopathology			negative		-0.93
paleosol			positive		0.882
paler_beneath			negative		-0.77
paler_brown			positive		0.032
palest				positive		0.639
palette				positive		0.077
palette_knife			positive		0.996
palimony			negative		-0.72
palindrome			positive		0.943
palitoy				positive		0.038
paljor				negative		-0.78
pall				negative		-0.89
pall_bearer			negative		-0.72
palladian_mansion		positive		0.095
palladium_acetate		positive		0.891
palladium_catalyst		positive		0.769
pallas_cat			negative		-0.71
pallbearer			negative		-0.72
pallbearer_carry		negative		-0.70
pallgriever			negative		-0.72
palliate			negative		-0.69
palliation			negative		-0.59
palliative			negative		-0.07
palliative_care			negative		-0.07
palliative_medicine		negative		-0.07
palliative_sedation		negative		-0.07
palliative_therapy		negative		-0.07
palliative_treatment		negative		-0.07
pallid				negative		-0.82
pallid_face			negative		-0.65
pallid_skin			negative		-0.65
pallidness			negative		-0.65
pallmeyer			positive		0.089
pallor				negative		-0.65
palm				positive		0.58
palm_casino_resort		positive		0.102
palm_desktop			positive		0.04
palm_hotel			positive		0.102
palm_kernel			negative		-0.79
palm_kernel_oil			negative		-0.79
palm_nut			negative		-0.79
palm_oil			negative		-0.79
palm_oil_production		negative		-0.05
palm_pilot			positive		0.066
palm_reader			positive		0.079
palm_thatch			negative		-0.03
palm_tree			positive		0.068
palm_upward			positive		0.67
palm_vii			positive		0.066
palm_wine			negative		-0.79
palmar_surface			positive		0.682
palmately			negative		-0.65
palmatum			negative		-0.60
palmetto			positive		0.598
palmistry			positive		0.079
palmoplantar			negative		-0.93
palmoplantar_keratoderma	negative		-0.72
palmtop				positive		0.066
palmtop_computer		positive		0.066
palmy				positive		0.903
palmyra				positive		0.598
palmyra_palm			negative		-0.79
palo_duro			positive		0.795
palo_duro_canyon		positive		0.795
palometa			negative		-0.76
palomino			negative		-0.96
palpability			negative		-0.66
palpable			positive		0.824
palpable_sense			positive		0.757
palpably			positive		0.901
palpebra			negative		-0.78
palpitant			positive		0.196
palpitation			negative		-0.79
palsy				positive		0.698
paltriness			negative		-0.81
paltry				negative		-0.81
paltry_sum			positive		0.13
palustre			positive		0.711
pamper				positive		0.27
pampered_chef			positive		0.18
pamphlet			positive		0.054
pamphleteer			negative		-0.86
pan				positive		0.788
pan_fry				negative		-0.78
pan_germanism			negative		-0.41
pan_mongolist			positive		0.82
pan_out				positive		0.728
pan_tilt			negative		-0.02
panacea				negative		-0.76
panache				positive		0.755
panayiotopoulos_syndrome	negative		-0.64
pancake				positive		0.113
pancake-like			negative		-0.84
pancakecroc			negative		-0.79
pancam				positive		0.104
panchi				negative		-0.71
pancreas			positive		0.047
pancreas_gland			negative		-0.83
pancreas_transplant		negative		-0.43
pancreatic			positive		0.047
pancreatic_cancer		negative		-0.88
pancreatic_duct			negative		-0.70
pancreatic_insufficiency	negative		-0.86
pancreatic_tissue		positive		0.047
panda				positive		0.053
panda_breeding_center		positive		0.053
panda_cam			positive		0.053
panda_cub			positive		0.053
panda_mei_xiang			negative		-0.84
panda_mom			negative		-0.84
pandemic			negative		-0.72
pandemic_vaccine		negative		-0.10
pandemonium			negative		-0.84
pander				positive		0.915
panderer			negative		-0.81
pandit_nathuram_premi_research	positive		0.066
pane				positive		0.039
paneer				positive		0.918
panegyric			negative		-0.85
panegyrical			negative		-0.85
panegyrici_latini		negative		-0.85
panegyrist			negative		-0.85
panel				positive		0.121
panel_beater			negative		-0.83
panel_discussion		positive		0.137
paneled_door			positive		0.072
panendoscope			positive		0.173
panera_bread			positive		0.917
panfish				negative		-0.74
panfish_action			negative		-0.74
panforte			positive		0.147
pang				negative		-0.76
panglossian			positive		0.627
panhandler			negative		-0.07
panhandling			negative		-0.87
panic				negative		-0.20
panic-stricken			negative		-0.82
panic-struck			negative		-0.77
panic_attack			negative		-0.33
panic_mode			negative		-0.78
panic_stricken			negative		-0.43
panicked			negative		-0.78
panicky				negative		-0.78
paniculata			positive		0.715
panicum				negative		-0.66
panicum_virgatum		positive		0.086
panix				positive		0.663
pankau				positive		0.105
panna_cotta			positive		0.083
panna_wisdom			positive		0.715
pannage				positive		0.923
pannone				positive		0.046
panoply				positive		0.631
panoptic			positive		0.664
panopticism			positive		0.664
panopticon			positive		0.664
panorama			positive		0.833
panoramic			positive		0.833
panoramic_camera		positive		0.104
panoramic_image			positive		0.833
panoramic_landscape		positive		0.833
panoramic_photo			positive		0.833
panoramic_photograph		positive		0.833
panoramic_photography		positive		0.833
panoramic_picture		positive		0.833
panoramic_shot			positive		0.833
panoramic_sunroof		positive		0.76
panoramic_view			positive		0.104
pansexual			negative		-0.93
pansy				negative		-0.81
pant				negative		-0.03
pant_back_pocket		positive		0.092
pant_leg			negative		-0.06
pant_pocket			positive		0.092
pantheist			positive		0.943
pantheon			positive		0.654
panther				negative		-0.81
pantie				positive		0.939
panties				positive		0.928
panto_villain			negative		-0.80
pantomime			negative		-0.62
pantomimic			negative		-0.68
pantomimist			positive		0.65
pantry				negative		-0.02
pants				positive		0.068
pants_pocket			positive		0.072
pantsuit_aficionado		positive		0.102
panty_hose			positive		0.998
pantyhose			negative		-0.04
pantyhose_voyeur		negative		-0.04
panzer_lehr			positive		0.75
panzer_lehr_division		negative		-0.66
panzerdivision			positive		0.75
panzuriel			negative		-0.30
paolo_ferrari_archie_goodwin	positive		0.068
pap				positive		0.78
papacy				positive		0.781
papakura_military		positive		0.098
papal_dispensation		negative		-0.90
papal_rescript			positive		0.909
papal_tiara			negative		-0.71
papalii				positive		0.923
papaya				positive		0.888
paper				negative		-0.02
paper_airplane			positive		0.843
paper_bag			positive		0.077
paper_bill			positive		0.872
paper_birch_betula		positive		0.648
paper_book			positive		0.058
paper_chromatography		positive		0.671
paper_clip			positive		0.056
paper_crumple			positive		0.889
paper_currency			positive		0.184
paper_cut			negative		-0.30
paper_deacidification		negative		-0.94
paper_doll			positive		0.815
paper_fastener			positive		0.184
paper_menu			positive		0.065
paper_money			positive		0.065
paper_nautilus			negative		-0.72
paper_octopod			negative		-0.72
paper_page			positive		0.734
paper_piece			positive		0.045
paper_plane			positive		0.827
paper_product			negative		-0.03
paper_pulp			positive		0.035
paper_punch			positive		0.761
paper_sign			positive		0.09
paper_square			positive		0.045
paper_towel			negative		-0.87
paper_towel_dispenser		positive		0.072
paper_wasp			positive		0.873
paper_write			positive		0.916
paperback			negative		-0.08
paperback_edition		negative		-0.08
paperback_version		negative		-0.08
paperboard			positive		0.035
paperboard_box			positive		0.683
paperboy			positive		0.101
paperclip			positive		0.082
papered_over			negative		-0.35
papering_over			negative		-0.07
paperweight			negative		-0.85
paperwork			positive		0.035
papery				positive		0.847
papery_bark			negative		-0.77
papilla				negative		-0.71
papillate			negative		-0.69
papilledema			negative		-0.87
papineau_labelle_wildlife	positive		0.086
paple				negative		-0.76
pappardelle			positive		0.832
pappataci_fever			negative		-0.71
pappose				negative		-0.77
pappy				positive		0.76
papular				negative		-0.78
papule				negative		-0.08
papyrifera			negative		-0.68
par				positive		0.903
par_arme_feu			negative		-0.90
par_excellence			positive		0.681
par_golf_course			positive		0.031
par_leur			positive		0.935
para_military			positive		0.743
para_transit			negative		-0.05
parable				positive		0.093
parabola			positive		0.021
parabolica			positive		0.943
paraboloid			positive		0.034
paracas_national		positive		0.086
paraceratherium			negative		-0.67
paracervical_block		negative		-0.78
paracetamol_acetaminophen	positive		0.871
parachute			negative		-0.90
parachute_assault		negative		-0.06
parachute_canopy		negative		-0.90
parachute_deployment		negative		-0.90
parachute_descent		negative		-0.90
parachute_drop			negative		-0.06
parachute_jump			negative		-0.90
parachute_pack			negative		-0.90
parachutist			negative		-0.90
parade				positive		0.829
parade_route			negative		-0.06
paradigm			positive		0.076
paradigmatically		positive		0.938
paradisal			positive		0.719
paradise			positive		0.076
paradise_garage			positive		0.75
paradox				negative		-0.58
paradoxalement			positive		0.903
paradoxical			negative		-0.82
paradoxical_nature		positive		0.82
paradoxically			positive		0.834
paraeducator			negative		-0.68
paraesthesia			negative		-0.72
paraffin			positive		0.053
paraffin_wax			positive		0.035
parafield			negative		-0.81
parafilm			negative		-0.80
parafoil			negative		-0.90
paragard			negative		-0.91
paraglider			negative		-0.90
paragon				positive		0.149
paragonimus_westermani		positive		0.852
paragraph			positive		0.055
parainfluenza_type		negative		-0.71
parakeet			positive		0.779
paralanguage			positive		0.64
paralegal			negative		-0.68
paralinguistic			negative		-0.78
paralipomena			negative		-0.74
parallactic_angle		positive		0.748
parallel			negative		-0.76
parallel_execution		negative		-0.76
parallelism			negative		-0.89
parallelogram			positive		0.742
paralogism			negative		-0.8
paralympic_athlete		negative		-0.05
paralysis			negative		-0.11
paralytic_disease		negative		-0.76
paralyze			negative		-0.59
paralyzed			negative		-0.84
paralyzed_vocal_cord		positive		0.106
paralyzed_vocal_fold		positive		0.106
param_method			positive		0.117
paramatman			positive		0.75
paramecium			positive		0.032
paramedic			negative		-0.68
paramedical			negative		-0.68
parameterization		negative		-0.83
parametric			positive		0.846
paramilitary_force		positive		0.743
paramount			positive		0.823
paramount_importance		positive		0.252
paramount_theatre		positive		0.83
paramountcy			positive		0.783
paramour			positive		0.301
paraneoplastic			negative		-0.69
paranoia			negative		-0.89
paranoiac			negative		-0.80
paranoid			negative		-0.10
paranoid_ideation		positive		0.736
paranoid_personality_disorder	negative		-0.92
paranoid_schizophrenia		negative		-0.92
paranoid_schizophrenic		negative		-0.92
paranormal			positive		0.866
paranormal_phenomenon		positive		0.866
paranthropus_boisei		positive		0.619
parapet				negative		-0.87
paraphasia			negative		-0.88
paraphilia			negative		-0.59
paraphilic			positive		0.82
paraphrase			positive		0.087
paraphrastic			negative		-0.74
paraphrenia			negative		-0.10
paraplegia			negative		-0.11
paraprofessional		negative		-0.68
paraprofessional_staff		negative		-0.68
paraprofessionalal		negative		-0.68
parapsychological		positive		0.866
parapsychologist		positive		0.866
parapsychology			negative		-0.71
paraquat_poisoning		negative		-0.78
paraquet			positive		0.779
parasara			positive		0.75
parasite			negative		-0.05
parasite_infection		negative		-0.66
parasite_trypanosoma_cruzi	positive		0.639
parasitic_alien			negative		-0.69
parasitic_capacitance		negative		-0.87
parasitic_disease		negative		-0.76
parasitic_drag			negative		-0.89
parasitic_inductance		negative		-0.87
parasitic_infection		negative		-0.76
parasitic_mite			negative		-0.72
parasitic_organism		positive		0.032
parasitic_protozoa		positive		0.784
parasitic_roundworm		positive		0.639
parasitic_twin			positive		0.706
parasitic_wasp			negative		-0.04
parasitic_worm			negative		-0.85
parasitica			negative		-0.84
parasitize			negative		-0.84
parasitoid			negative		-0.04
parasitoid_wasp			negative		-0.04
parasitoidal			negative		-0.75
parasitology			positive		0.093
parasitophorous_vacuole		positive		0.728
parasol				negative		-0.79
parasphenoid			positive		0.034
parasympathetic_activity	positive		0.644
parathion_poisoning		negative		-0.73
parathormone			negative		-0.72
parathyroid_gland		positive		0.047
paratroop_battalion		negative		-0.09
paratrooper			negative		-0.90
paratyphoid			positive		0.834
paratyphoid_fever		negative		-0.76
paraventricular			positive		0.805
parboiled_rice			negative		-0.79
parcel				negative		-0.66
parcel_of_land			negative		-0.66
parcelization			positive		0.88
parched				positive		0.069
parched_desert			negative		-0.79
parcheesi			positive		0.796
parchment			positive		0.738
parchment_paper			positive		0.357
parcoblatta			negative		-0.95
pardner				positive		0.816
pardon				positive		0.113
pardonable			positive		0.769
pared-down			positive		0.911
parenchyma			negative		-0.71
parent				positive		0.897
parent_child			positive		0.824
parent_company			positive		0.14
parent_compound			positive		0.744
parent_involvement		positive		0.065
parent_wedding_anniversary	positive		0.114
parentage			positive		0.751
parental			positive		0.048
parental_abuse			negative		-0.95
parental_affection		negative		-0.82
parental_authority		negative		-0.69
parental_choice			positive		0.188
parental_corporal_punishment	negative		-0.85
parental_discipline		negative		-0.85
parental_leave			positive		0.088
parental_neglect		negative		-0.95
parental_quality		positive		0.695
parental_responsibility		positive		0.048
parental_substance_abuse	negative		-0.80
parental_supervision		positive		0.767
parenteral			positive		0.603
parenthesis			negative		-0.96
parenthetical			positive		0.087
parenting			positive		0.795
paresthesia			negative		-0.71
pareto_distribution		negative		-0.7
pareto_optimal			negative		-0.68
parfum				positive		0.862
pargne_salariale		negative		-0.02
pari_mutuel			negative		-0.74
paria_river			positive		0.067
pariah				negative		-0.88
pariah_dog			positive		0.875
parietal_bone			positive		0.808
parietal_cortex			positive		0.096
parietal_fenestra		positive		0.034
parietal_lobe			negative		-0.74
parimutuel			negative		-0.74
parinari			positive		0.806
paring_knife			negative		-0.74
parinirvana			positive		0.094
paris_opera_ballet		positive		0.09
parish				positive		0.834
parish_churchyard		negative		-0.71
parish_clerk			negative		-0.88
parish_priest			positive		0.178
parish_vicar			positive		0.178
parishioner			positive		0.629
parisian			positive		0.919
parisian_chic			positive		0.858
parisian_fashion		positive		0.919
parisian_restaurant		positive		0.619
parisian_style			positive		0.919
parisology			positive		0.693
parity				positive		0.105
parity_check			positive		0.844
park				positive		0.049
park-like			positive		0.816
park_association_nrpa		positive		0.936
park_avenue			positive		0.943
park_bench			positive		0.1
park_constabulary		positive		0.743
park_meter			positive		0.84
park_recreation			positive		0.936
park_space			positive		0.031
park_structure			positive		0.03
park_zone			positive		0.065
parka				negative		-0.86
parked_illegally		positive		0.069
parked_near			negative		-0.09
parked_nearby			positive		0.069
parked_truck			negative		-0.05
parked_vehicle			positive		0.069
parking_apron			negative		-0.65
parking_decal			positive		0.814
parking_deck			negative		-0.09
parking_garage			positive		0.067
parking_lot			negative		-0.09
parking_lot_adjacent		negative		-0.09
parking_orbit			positive		0.923
parking_permit			positive		0.814
parking_placard			positive		0.135
parking_ramp			negative		-0.09
parking_space			negative		-0.09
parking_spot			negative		-0.05
parking_structure		negative		-0.09
parking_ticket			negative		-0.28
parkinson			negative		-0.76
parkinson_disease		negative		-0.76
parkinson_disease_pd		negative		-0.76
parkinsonism			negative		-0.76
parkinsons_disease		negative		-0.76
parklife			negative		-0.09
parkway				negative		-0.03
parlance			negative		-0.02
parlando			negative		-0.72
parlay				negative		-0.85
parliament			positive		0.112
parliament_ali_larijani		positive		0.039
parliament_nabih_berri		positive		0.039
parliament_sharif_hassan	positive		0.039
parliamentarian			positive		0.861
parliamentarianism		positive		0.748
parliamentary_democracy		negative		-0.83
parliamentary_election		positive		0.061
parliamentary_enquiry		positive		0.881
parliamentary_immunity		positive		0.816
parliamentary_inquiry		positive		0.881
parliamentary_inquiry_into	positive		0.881
parliamentary_monarchy		positive		0.086
parliamentary_poll		positive		0.061
parliamentary_reform		negative		-0.79
parliamentary_scrutiny		negative		-0.75
parliamentary_seat		positive		0.036
parliamentary_session		negative		-0.64
parlor_car			negative		-0.63
parlor_door			positive		0.749
parlormaid			negative		-0.64
parlour_door			positive		0.749
parlour_maid			negative		-0.64
parlourmaid			negative		-0.64
parlous				negative		-0.93
parlous_state			positive		0.825
parmenter			negative		-0.78
parmesan_cheese			positive		0.832
parmesan_rind			negative		-0.78
parnall				negative		-0.81
parnassus_parnassia		positive		0.711
parnell_park			positive		0.036
parochial			positive		0.842
parochial_school		positive		0.024
parochial_school_tuition	negative		-0.13
parochialism			positive		0.776
parodic				positive		0.065
parodistic			positive		0.776
parody				negative		-0.90
parole				negative		-0.88
paronomasia			positive		0.743
paronychia			negative		-0.74
paroquet			positive		0.779
paroxysm			negative		-1
paroxysmal			negative		-0.67
paroxysmal_cough		negative		-0.82
paroxysmal_nocturnal_dyspnea	negative		-0.20
parquet_floor			positive		0.104
parrakeet			positive		0.779
parramatta			positive		0.923
parricide			positive		0.035
parroket			positive		0.779
parrot				negative		-0.82
parrot_cay			positive		0.879
parrot_fish			negative		-0.10
parrotlike			negative		-0.66
parry				negative		-0.87
parse_error			negative		-0.88
parser				negative		-0.84
parsimonious			negative		-0.68
parsimoniously			negative		-0.68
parsimoniousness		positive		0.668
parsimony			positive		0.668
parsimony_criterion		negative		-0.68
parsley				positive		0.81
parsoid				negative		-0.75
parson				negative		-0.88
part				positive		0.873
part_of_band			positive		0.901
part_of_body			positive		0.083
part_of_book			positive		0.049
part_of_building		positive		0.071
part_of_ceremony		positive		0.833
part_of_company			positive		0.048
part_of_day			positive		0.044
part_of_dinner			positive		0.95
part_of_face			positive		0.056
part_of_family			positive		0.056
part_of_foot			positive		0.056
part_of_group			positive		0.184
part_of_hair			negative		-0.08
part_of_history			positive		0.066
part_of_house			positive		0.8
part_of_human_body		positive		0.073
part_of_meal			positive		0.889
part_of_movie			negative		-0.11
part_of_plant			positive		0.066
part_of_play			positive		0.907
part_of_room			positive		0.807
part_of_speech			positive		0.097
part_of_team			positive		0.942
part_of_tree			positive		0.922
part_of_way			positive		0.907
part_of_whole			positive		0.818
partake				positive		0.832
partaking			positive		0.828
parthenogenetic			negative		-0.77
parthenogenic			negative		-0.92
parthenolide			negative		-0.73
partial				negative		-0.77
partial_agonist			negative		-0.86
partial_birth_abortion		negative		-0.86
partial_breach			negative		-0.13
partial_collapse		negative		-0.04
partial_correlation		negative		-0.79
partial_demolition		negative		-0.10
partial_denture			negative		-0.76
partial_derivative		negative		-0.77
partial_differential_equation	positive		0.87
partial_freeze			negative		-0.7
partial_government_shutdown	negative		-0.85
partial_immersion		positive		0.738
partial_immunity		positive		0.816
partial_indulgence		positive		0.909
partial_isometry		negative		-0.80
partial_list			positive		0.116
partial_lunar_eclipse		positive		0.075
partial_melt			negative		-0.92
partial_payment			positive		0.059
partial_shutdown		negative		-0.85
partial_tear			positive		0.781
partial_vacuum			positive		0.04
partial_waiver			negative		-0.73
partial_withdrawal		negative		-0.79
partiality			negative		-0.67
partially_blind			negative		-0.07
partially_compensate		positive		0.62
partially_deaf			negative		-0.07
partially_digested_food		positive		0.968
partially_frozen		negative		-0.02
partially_hidden		negative		-0.01
partially_migratory		negative		-0.86
partially_nude			negative		-0.86
partially_offset		positive		0.62
partially_offset_by		positive		0.62
partially_sighted_people	negative		-0.08
participant			positive		0.075
participate			positive		0.969
participate_fully		positive		0.089
participate_sport		positive		0.79
participation			positive		0.941
participative			positive		0.835
participatory			positive		0.841
participatory_governance	positive		0.89
participial			positive		0.645
participle			negative		-0.64
particle			positive		0.033
particle_accelerator		positive		0.767
particle_board			positive		0.797
particle_collide		negative		-0.08
particle_density		positive		0.881
particle_flux			negative		-0.83
particle_scientific_instrument	positive		0.768
particle_size			negative		-0.75
particle_size_reduction		negative		-0.72
particle_velocity		negative		-0.86
particolohorse_chestnut		negative		-0.60
particolored_buckeye		negative		-0.60
particular			positive		0.122
particular_emphasis		positive		0.858
particularism			positive		0.646
particularity			negative		-0.64
particulate			negative		-0.75
particulate_material		negative		-0.75
particulate_matter		negative		-0.75
particulate_matter_pm		negative		-0.75
particulate_phase		negative		-0.75
partier				negative		-0.15
parting_gift			positive		0.062
parting_shot			positive		0.65
partisan			positive		0.808
partisan_crowd			negative		-0.84
partisan_ftp			negative		-0.77
partisan_resistance		negative		-0.77
partisanship			negative		-0.77
partition			positive		0.048
partition_function		negative		-0.87
partitive			negative		-0.64
partizan			positive		0.91
partizan_belgrade		positive		0.91
partly_attributable		negative		-0.29
partly_cloudy			negative		-0.04
partly_due			negative		-0.31
partly_offset			positive		0.62
partly_offset_by		positive		0.62
partly_sunny			positive		0.048
partner				positive		0.767
partner_in_crime		negative		-0.96
partner_llp			positive		0.767
partnered_with			negative		-0.60
partnership			positive		0.157
partnrships			negative		-0.92
partook				positive		0.829
partridge			positive		0.72
parturition			positive		0.805
party				positive		0.841
party_agree			positive		0.111
party_animal			positive		0.884
party_dress			positive		0.882
party_goer			positive		0.884
party_poker_download		negative		-0.74
party_pooper			negative		-0.86
party_time			positive		0.82
partygoer			positive		0.884
partysaurus_rex			negative		-0.78
parunthu			negative		-0.83
parure				negative		-0.71
parvenu				negative		-0.80
parviflora			positive		0.598
parvifolia			negative		-0.60
pasang				negative		-0.78
pasang_lhamu			negative		-0.78
pasar				positive		0.043
pascagoula			negative		-0.78
pascal_programming_language	positive		0.928
paschal_candle			negative		-0.81
paschal_feast			positive		0.784
pasder				negative		-0.69
pasgt				positive		0.741
pasha_mosque			positive		0.802
pashmina			negative		-0.75
pasque_flower			negative		-0.83
pasqueflower			negative		-0.83
pass				positive		0.819
pass_along			positive		0.604
pass_around			positive		0.579
pass_away			negative		-0.65
pass_ball			positive		0.096
pass_by				negative		-0.04
pass_card			positive		0.024
pass_exam			positive		0.82
pass_examination		positive		0.83
pass_fail			negative		-0.87
pass_filter			positive		0.069
pass_gas			negative		-0.10
pass_gene			positive		0.041
pass_glass			positive		0.814
pass_grade			positive		0.082
pass_information		positive		0.082
pass_judgment			negative		-0.05
pass_knowledge			positive		0.082
pass_law			positive		0.082
pass_off			negative		-0.72
pass_on				positive		0.604
pass_out			negative		-0.77
pass_over			negative		-0.74
pass_test			positive		0.067
pass_through			positive		0.883
passable			negative		-0.80
passableness			negative		-0.85
passage				positive		0.109
passageway			positive		0.047
passbook			positive		0.068
passe				negative		-0.04
passed_unanimously		positive		0.727
passenger			positive		0.085
passenger_aboard		positive		0.085
passenger_accommodation		positive		0.085
passenger_airline		positive		0.066
passenger_airliner		positive		0.943
passenger_automobile		positive		0.059
passenger_cabin			positive		0.085
passenger_car			positive		0.067
passenger_carriage		positive		0.085
